"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"miasto";0;0,00535193560683143;0;0;0;0;0,00480701125413586;0;0,00927668838517447;0;0,00979205996212861;0,0104088826369084;0,00367202248579823;0;0,00134478951667077;0;0;0;0;0,0372374111235877
"miecz";0;0;0;0;0;0;0;0;0;0;0;0;0,064260393501469;0,00778913860623867;0,0295853693667568;0,0180838316674058;0,0040549941560962;0,0123400522276533;0,0194621350323168;0,273074348239643
"mil";0;0,00535193560683143;0;0;0,00550803372869734;0;0;0;0;0,0065767566909819;0;0;0,00183601124289911;0,00111273408660552;0;0,0108502990004435;0;0,00462751958537;0;0,0124124703745292
"min";0;0,00535193560683143;0,00478959454669334;0,00541773809380067;0;0,00609183453865144;0;0;0;0;0;0;0,00183601124289911;0;0,00134478951667077;0;0;0;0,00149708731017821;0,00620623518726461
"mleko";0;0,0107038712136629;0,0191583781867734;0;0;0;0;0;0;0;0;0,0156133239553625;0;0;0,00134478951667077;0,00361676633348116;0,0020274970780481;0;0,00299417462035643;0,00620623518726461
"mlodego";0;0;0;0;0;0,00609183453865144;0;0,0110621597898524;0,00463834419258724;0,0065767566909819;0,0048960299810643;0,00520444131845418;0;0,00111273408660552;0;0;0;0,00154250652845667;0;0
"mlodszy";0;0;0,00478959454669334;0;0,00550803372869734;0,00609183453865144;0;0;0,00463834419258724;0,0065767566909819;0,0048960299810643;0;0,00367202248579823;0;0;0,00180838316674058;0;0;0;0
"modlic";0,0212357926889536;0;0;0;0;0;0;0;0,00927668838517447;0;0,0146880899431929;0,00520444131845418;0,00183601124289911;0,00111273408660552;0,00134478951667077;0;0;0,00154250652845667;0;0
"mostek";0;0;0;0;0,0440642698295787;0,054826510847863;0,0528771237954945;0,0331864793695572;0,00463834419258724;0;0;0;0;0,00111273408660552;0,00134478951667077;0;0,0020274970780481;0;0;0
"nacisk";0;0,00535193560683143;0;0;0,0110160674573947;0,00609183453865144;0,00480701125413586;0;0;0;0;0;0,00183601124289911;0;0;0;0,0020274970780481;0;0,00149708731017821;0,00620623518726461
"napis";0;0;0;0;0;0,0121836690773029;0;0;0,00927668838517447;0,0065767566909819;0;0,00520444131845418;0;0;0,00537915806668306;0,00180838316674058;0;0,00462751958537;0;0,00620623518726461
"narazic";0;0;0;0;0;0,0121836690773029;0,00480701125413586;0,0055310798949262;0,00463834419258724;0,0065767566909819;0,0048960299810643;0;0;0;0;0;0,0040549941560962;0,00308501305691333;0;0
"nastawic";0;0;0;0,00541773809380067;0,016524101186092;0,00609183453865144;0,00480701125413586;0,0055310798949262;0;0,0065767566909819;0,0048960299810643;0,00520444131845418;0;0;0;0;0;0;0;0
"nienawidzic";0;0,0107038712136629;0,00957918909338668;0,00541773809380067;0;0;0,00480701125413586;0,0165932396847786;0,00927668838517447;0;0,0048960299810643;0;0;0;0,00134478951667077;0;0;0;0;0
"nienawisc";0;0,0428154848546514;0,00957918909338668;0,0108354761876013;0;0;0,0144210337624076;0,0110621597898524;0,00463834419258724;0;0;0;0,00183601124289911;0;0;0;0;0;0,00149708731017821;0
"niepokojacy";0;0,00535193560683143;0;0;0,00550803372869734;0,00609183453865144;0,00480701125413586;0,0110621597898524;0;0,0131535133819638;0,00979205996212861;0;0;0;0;0,00361676633348116;0;0;0;0
"normalna";0;0,00535193560683143;0,00478959454669334;0;0;0;0,00480701125413586;0;0;0;0;0;0,00734404497159646;0,00111273408660552;0,00268957903334153;0,00180838316674058;0;0;0,00149708731017821;0
"obiad";0,0053089481722384;0;0;0,016253214281402;0,016524101186092;0;0;0;0,00927668838517447;0,0131535133819638;0,0195841199242572;0,0260222065922709;0;0;0;0;0;0;0,00598834924071285;0
